id;name;concept
354;testifying;The act of giving a formal statement or evidence under oath in a court of law or other legal proceedings.
355;texting;The act of sending written messages or communicating with others using a mobile device or computer.
356;throwing axe;The act of hurling an axe at a target, often done as a sport or for recreational purposes.
357;throwing ball;The act of propelling a ball through the air using one's hand or other body part, often done as a sport or game.
358;throwing discus;The act of throwing a discus, a heavy circular object, for distance or accuracy, often done as a sport.
359;tickling;The act of lightly touching or stroking someone's body to cause a tickling sensation and evoke laughter.
360;tobogganing;The act of sliding down a snow-covered hill or slope while sitting on a sled or toboggan.
361;tossing coin;Flipping a coin into the air and catching it with your hand.
362;tossing salad;Mixing salad ingredients by throwing them into the air and catching them in a bowl.
363;training dog;Teaching a dog new skills or behaviors through repetition and positive reinforcement.
364;trapezing;Performing acrobatic maneuvers while swinging back and forth on a trapeze.
365;trimming or shaving beard;Using a razor or trimmer to remove excess hair from the face.
366;trimming trees;Cutting or pruning branches and foliage from trees to promote healthy growth.
367;triple jump;Performing a track and field event that involves three consecutive jumps: a hop, a step, and a jump.
368;tying bow tie;Creating a knot in the shape of a bow in a necktie or ribbon worn around the neck.
369;tying knot (not on a tie);Creating a secure fastening by looping and tying a length of rope, string, or other material.
370;tying tie;Creating a knot in a necktie or similar accessory worn around the neck.
371;unboxing;Opening a box or package to reveal its contents.
372;unloading truck;Removing items from a truck or other vehicle and placing them in a designated location.
373;using computer;Interacting with a computer system through a keyboard, mouse, or other input device.
374;using remote controller (not gaming);Operating a remote control to adjust the settings or functions of a device, such as a television or stereo system.
375;using segway;Riding a self-balancing personal transportation device that uses gyroscopic technology to remain upright.
376;vault;Performing a gymnastics event that involves propelling oneself over a vaulting horse or other apparatus.
377;waiting in line;Standing in a designated queue or line while waiting for a service or to make a purchase.
378;walking the dog;Exercising a dog by taking it for a walk on a leash.
379;washing dishes;Cleaning and sanitizing dishes, utensils, and cookware in a sink or dishwasher.
380;washing feet;Cleansing and massaging the feet with soap and water, often as part of a hygiene routine or personal care practice.
381;washing hair;Rubbing shampoo onto hair and lathering it up, then rinsing it out with water and possibly conditioning hair afterwards.
382;washing hands;Rubbing hands together with soap under running water for at least 20 seconds, then rinsing hands and drying them.
383;water skiing;Being pulled behind a boat while standing on skis and navigating through the water.
384;water sliding;Riding a slide that is usually made of plastic and is designed to be slippery and wet, often found at water parks.
385;watering plants;Pouring water onto plants in order to keep them hydrated and healthy.
386;waxing back;Applying wax onto the back and then quickly pulling off the wax strips to remove hair.
387;waxing chest;Applying wax onto the chest and then quickly pulling off the wax strips to remove hair.
388;waxing eyebrows;Applying wax onto the eyebrows and then quickly pulling off the wax strips to remove hair and shape the eyebrows.
389;waxing legs;Applying wax onto the legs and then quickly pulling off the wax strips to remove hair.
390;weaving basket;Using a variety of materials to create a woven basket for storage or decoration.
391;welding;Joining two pieces of metal together by heating them to a high temperature and then fusing them with a filler metal.
392;whistling;Making a high-pitched sound by forcing air through puckered lips or by using fingers to make a similar sound.
393;windsurfing;Standing on a board and using a sail to catch the wind and move through the water.
394;wrapping present;Covering a gift with decorative paper, often adding bows or other embellishments for a festive touch.
395;wrestling;Engaging in physical combat with an opponent, attempting to pin them to the ground or force them into submission.
396;writing;Using a pen, pencil, or other writing instrument to create words or images on paper or a digital medium.
397;yawning;Inhaling deeply and exhaling audibly, often as a sign of tiredness or boredom.
398;yoga;Engaging in physical and mental practices that focus on relaxation, meditation, and stretching.
399;zumba;Participating in a fitness program that combines elements of dance and aerobics, often set to upbeat music.
